,File Name,Team 1,Score,Team 2,Score.1,Team 3,Score.2,Team 4,Score.3,Team 5,Score.4,Team 6,Score.5
0,1_00d00h00m.tif,,,,,,,Good,,,,,
1,1_00d04h00m.tif,,,,,,,Good,,,,,
2,1_00d16h10m.tif,,,,,,,Good,,,,,
3,1_00d20h10m.tif,,,,,,,Good,,,,,
4,1_01d00h10m.tif,,,,,,,Good,,,,,
5,1_01d04h10m.tif,,,,,,,Good,,,,,
6,1_01d08h10m.tif,,,,,,,Good,,,,,
7,1_01d12h10m.tif,,,,,,,Good,,,,,
8,1_01d16h10m.tif,,,,,,,Good,,,,,
9,1_01d20h10m.tif,,,,,,,Good,,,,,
10,1_02d00h10m.tif,,,,,,,Good,,,,,
11,1_02d04h10m.tif,,,,,,,Good,,,,,
12,1_02d08h10m.tif,,,,,,,Good,,,,,
13,1_02d12h10m.tif,,,,,,,Good,,,,,
14,1_02d16h10m.tif,,,,,,,Good,,,,,
15,1_02d20h10m.tif,,,,,,,Good,,,,,
16,1_03d00h10m.tif,,,,,,,Good,,,,,
17,1_03d04h10m.tif,,,,,,,Good,,,,,
18,1_03d08h10m.tif,,,,,,,Good,,,,,
19,1_03d12h10m.tif,,,,,,,Good,,,,,
20,1_03d16h10m.tif,,,,,,,Good,,,,,
21,1_03d20h10m.tif,,,,,,,Good,,,,,
22,1_04d00h10m.tif,,,,,,,Good,,,,,
23,1_04d04h10m.tif,,,,,,,Good,,,,,
24,1_04d08h10m.tif,,,,,,,Good,,,,,
25,1_04d12h10m.tif,,,,,,,Good,,,,,
26,1_04d16h10m.tif,,,,,,,Good,,,,,
27,1_05d00h10m.tif,,,,,,,Good,,,,,
28,1_05d04h10m.tif,,,,,,,Good,,,,,
29,1_05d08h10m.tif,,,,,,,Good,,,,,
30,1_05d12h10m.tif,,,,,,,Good,,,,,
31,1_05d16h10m.tif,,,,,,,Good,,,,,
32,1_05d20h10m.tif,,,,,,,Good,,,,,
33,1_06d00h10m.tif,,,,,,,Good,,,,,
34,1_06d04h10m.tif,,,,,,,Good,,,,,
35,1_06d08h10m.tif,,,,,,,Good,,,,,
36,1_06d12h10m.tif,,,,,,,Good,,,,,
37,1_06d16h10m.tif,,,,,,,Good,,,,,
38,1_06d20h10m.tif,,,,,,,Good,,,,,
39,1_07d00h10m.tif,,,,,,,Good,,,,,
40,1_07d04h10m.tif,,,,,,,Good,,,,,
41,1_07d08h10m.tif,,,,,,,Good,,,,,
42,1_07d12h10m.tif,,,,,,,Good,,,,,
43,1_07d16h10m.tif,,,,,,,Good,,,,,
44,1_07d20h10m.tif,,,,,,,Good,,,,,
45,1_08d00h10m.tif,,,,,,,Good,,,,,
