,image_name,colony_area,ratio_cobelstone,is_good,ratio_debri,ratio_inner_good,ratio_outer_good
0,Good0000_Probabilities.h5,2445,0.10184049079754601,1.0,0.0,0.08588957055214724,0.8122699386503067
1,Good0001_Probabilities.h5,7023,0.15648583226541365,1.0,0.0,0.0,0.8435141677345863
2,Good0002_Probabilities.h5,6788,0.26178550383028876,1.0,0.0,0.0,0.7382144961697112
3,Good0003_Probabilities.h5,2577,0.020566550252231277,1.0,0.0,0.0,0.9794334497477687
4,Good0004_Probabilities.h5,5235,0.30219675262655205,1.0,0.0,0.0,0.6978032473734479
5,Good0005_Probabilities.h5,4556,0.36150131694468834,1.0,0.0,0.0,0.6384986830553117
6,Good0006_Probabilities.h5,1893,0.5472794506075013,1.0,0.0,0.14421553090332806,0.3085050184891706
7,Good0007_Probabilities.h5,3294,0.21341833636915605,1.0,0.0,0.05160898603521554,0.7349726775956285
8,Good0008_Probabilities.h5,3574,0.427811975377728,1.0,0.0,0.0,0.5721880246222719
9,Good0009_Probabilities.h5,2373,0.1959544879898862,1.0,0.0,0.08006742520016856,0.7239780868099452
10,Good0010_Probabilities.h5,2768,0.7019508670520231,1.0,0.0,0.0,0.29804913294797686
11,Good0011_Probabilities.h5,4900,0.666734693877551,1.0,0.0,0.04040816326530612,0.29285714285714287
12,Good0012_Probabilities.h5,2149,0.40111679851093535,1.0,0.0,0.2219637040483946,0.3769194974406701
13,Good0013_Probabilities.h5,2844,0.8185654008438819,1.0,0.0,0.0,0.18143459915611815
14,Good0014_Probabilities.h5,2771,0.3948033201010466,1.0,0.0,0.1782749909779863,0.42692168892096716
15,Good0015_Probabilities.h5,3000,0.4623333333333333,1.0,0.0,0.189,0.3486666666666667
16,Good0016_Probabilities.h5,11864,0.31473364801078896,1.0,0.0,0.0026972353337828725,0.6825691166554282
17,Good0017_Probabilities.h5,4263,0.2355148956134178,1.0,0.0,0.35444522636640863,0.4100398780201736
18,Good0018_Probabilities.h5,4934,0.3131333603567086,1.0,0.0,0.33015808674503444,0.356708552898257
19,Good0019_Probabilities.h5,5581,0.22146568715283999,1.0,0.0,0.3669593262856119,0.4115749865615481
20,Good0020_Probabilities.h5,5528,0.2588639652677279,1.0,0.0,0.37391461649782926,0.3672214182344428
21,Good0021_Probabilities.h5,8642,0.3800046285582041,1.0,0.0,0.27239065031242765,0.3476047211293682
22,Good0022_Probabilities.h5,8574,0.275134126428738,1.0,0.0,0.4038954980172615,0.3209703755540005
23,Good0023_Probabilities.h5,10478,0.33403321244512313,1.0,0.0,0.37220843672456577,0.29375835083031115
24,Good0024_Probabilities.h5,12385,0.28655631812676624,1.0,0.0,0.3551877270892208,0.3582559547840129
25,Good0025_Probabilities.h5,12999,0.25348103700284635,1.0,0.0,0.4358796830525425,0.3106392799446111
26,Good0026_Probabilities.h5,14862,0.24895707172655093,1.0,0.0,0.4046561700982371,0.346386758175212
27,Good0027_Probabilities.h5,14227,0.17312152948618822,1.0,0.0,0.4536444788079005,0.3732339917059113
28,Good0028_Probabilities.h5,14911,0.20756488498423983,1.0,0.0,0.4384011803366642,0.354033934679096
29,Good0029_Probabilities.h5,14968,0.1798503474078033,1.0,0.0,0.5037413148049171,0.3164083377872795
30,Good0030_Probabilities.h5,16278,0.18712372527337512,1.0,0.0,0.5374124585329894,0.2754638161936356
